product,brand,category,sub_category,description,text
Tomato Sauce - No Onion No Garlic,MAGGI ,Snacks & Branded Foods,"Spreads, Sauces, Ketchup","Nestlé MAGGI rich Tomato Sauces are definitely a household favourite when it comes to persuading your kids to finish their food. The remarkable tomato flavour makes it a hit among the kids and elders alike. The hero to your snacks and the best accompaniment to a boring meal, Nestlé MAGGI Tomato Sauces assure everything from samosas, noodles, pakodas to plain chapatis, is perfect and yummy. For all those who have a ‘no garlic - no onion’ diet, Nestlé brings the scrumptious MAGGI No Onion No Garlic (NONG) Tomato Sauce. It is specially made without the use of Onion or Garlic, yet it is wonderful in taste and can add a unique tang to your usual food.","Tomato Sauce - No Onion No Garlic MAGGI  Snacks & Branded Foods Spreads, Sauces, Ketchup Nestlé MAGGI rich Tomato Sauces are definitely a household favourite when it comes to persuading your kids to finish their food. The remarkable tomato flavour makes it a hit among the kids and elders alike. The hero to your snacks and the best accompaniment to a boring meal, Nestlé MAGGI Tomato Sauces assure everything from samosas, noodles, pakodas to plain chapatis, is perfect and yummy. For all those who have a ‘no garlic - no onion’ diet, Nestlé brings the scrumptious MAGGI No Onion No Garlic (NONG) Tomato Sauce. It is specially made without the use of Onion or Garlic, yet it is wonderful in taste and can add a unique tang to your usual food."
Sea Minerals Liquid Handwash Refill,Palmolive,Beauty & Hygiene,Bath & Hand Wash,"Deep cleansing hand wash with naturally derived Sea Minerals. Cleanses hands thoroughly to leave them feeling fresh and soft. Contains anti-germ agent that removes 99.9% of germs. Provides long-lasting protection and freshness. Provides long-lasting protection and freshness. Also, try the exotic Black Orchid & Milk enriched Palmolive Handwash Refill pack Palmolive Naturals Hand Wash with the natural goodness of Sea Minerals deep cleanses your hands every time you wash them. Containing Sea Salt of 100% natural origin, the hand wash is effective yet gentle on your hands. It also contains an anti-germ agent that removes 99.9% of germs and provides long-lasting protection. The special formula pampers your hands with every wash and delights your senses with its unique fragrance.","Sea Minerals Liquid Handwash Refill Palmolive Beauty & Hygiene Bath & Hand Wash Deep cleansing hand wash with naturally derived Sea Minerals. Cleanses hands thoroughly to leave them feeling fresh and soft. Contains anti-germ agent that removes 99.9% of germs. Provides long-lasting protection and freshness. Provides long-lasting protection and freshness. Also, try the exotic Black Orchid & Milk enriched Palmolive Handwash Refill pack Palmolive Naturals Hand Wash with the natural goodness of Sea Minerals deep cleanses your hands every time you wash them. Containing Sea Salt of 100% natural origin, the hand wash is effective yet gentle on your hands. It also contains an anti-germ agent that removes 99.9% of germs and provides long-lasting protection. The special formula pampers your hands with every wash and delights your senses with its unique fragrance."
"Aluminium Pressure Cooker - With Silicone Soft Touch Handle, Cibo X1, Silver",United,"Kitchen, Garden & Pets",Cookware & Non Stick,United Aluminium pressure cooker with Scilione Handle is complete from high-quality material for additional strength and sturdiness. It helps maintain the rich flavours of the food making every meal unforgettable. It can work on any heat source and enables you to cook delicious dishes smartly at the highest of safety through its Silicone Handle.,"Aluminium Pressure Cooker - With Silicone Soft Touch Handle, Cibo X1, Silver United Kitchen, Garden & Pets Cookware & Non Stick United Aluminium pressure cooker with Scilione Handle is complete from high-quality material for additional strength and sturdiness. It helps maintain the rich flavours of the food making every meal unforgettable. It can work on any heat source and enables you to cook delicious dishes smartly at the highest of safety through its Silicone Handle."
"Water Bottle - H2O Steel, Silver",Cello,"Kitchen, Garden & Pets",Storage & Accessories,"With this water bottle from the house of Cello, you can carry chilled water or your favourite beverages conveniently. It is made using steel for durability and this bottle has an air-tight plastic cap.","Water Bottle - H2O Steel, Silver Cello Kitchen, Garden & Pets Storage & Accessories With this water bottle from the house of Cello, you can carry chilled water or your favourite beverages conveniently. It is made using steel for durability and this bottle has an air-tight plastic cap."
Ultra Overnight Sanitary Pads - XL+ Wings,Whisper ,Beauty & Hygiene,Feminine Hygiene,"Sleep worry-free with Whisper Bindazz Nights! Whisper Bindazzz Nights pads ensure up to 0% leaks because they are 75% longer & have a wider back vs regular pads.
FEATURES-

Whisper Bindazz Nights ensure up to 0% leaks
Nearly 75% longer helps provide more coverage
Wider back for better coverage to protect against back leakage throughout the night 4. 5X more absorbency
Lock core helps absorb fluid and locks it in gel form for long-lasting protection
Dri-weave cover provides soft, dry protection","Ultra Overnight Sanitary Pads - XL+ Wings Whisper  Beauty & Hygiene Feminine Hygiene Sleep worry-free with Whisper Bindazz Nights! Whisper Bindazzz Nights pads ensure up to 0% leaks because they are 75% longer & have a wider back vs regular pads.
FEATURES-

Whisper Bindazz Nights ensure up to 0% leaks
Nearly 75% longer helps provide more coverage
Wider back for better coverage to protect against back leakage throughout the night 4. 5X more absorbency
Lock core helps absorb fluid and locks it in gel form for long-lasting protection
Dri-weave cover provides soft, dry protection"
Pitted Green Olives,Del Monte,Gourmet & World Food,Tinned & Processed Food,"Del Monte olives are sourced from the largest olive producer and exporter in Spain. Olives can be used while preparing Italian & Mediterranean cuisines at home, as well as for healthy snacking. Deep & rich in flavor, Del Monte Pitted Green Olives go exceptionally well in salads & pasta, or simply for healthy snacking. Ready-to-use Spanish olives of the Hojiblanca variety. Use these in pizzas, pasta, bruschetta, garlic bread, or for plain healthy snacking.","Pitted Green Olives Del Monte Gourmet & World Food Tinned & Processed Food Del Monte olives are sourced from the largest olive producer and exporter in Spain. Olives can be used while preparing Italian & Mediterranean cuisines at home, as well as for healthy snacking. Deep & rich in flavor, Del Monte Pitted Green Olives go exceptionally well in salads & pasta, or simply for healthy snacking. Ready-to-use Spanish olives of the Hojiblanca variety. Use these in pizzas, pasta, bruschetta, garlic bread, or for plain healthy snacking."
Woman - Urban Musk Body Mist,Nike,Beauty & Hygiene,Fragrances & Deos,"A brand inspired by the Greek goddess of victory, it personifies strength, speed and energy and it launched its first perfume in 1929. Since then, a wide assortment of fragrance collections has hit the marketplace with refreshing, and eye-catching proposals that capture the essence and lifestyle of today´s man and woman. Nike Urban Musk women Body mist is a long-lasting fragrance.","Woman - Urban Musk Body Mist Nike Beauty & Hygiene Fragrances & Deos A brand inspired by the Greek goddess of victory, it personifies strength, speed and energy and it launched its first perfume in 1929. Since then, a wide assortment of fragrance collections has hit the marketplace with refreshing, and eye-catching proposals that capture the essence and lifestyle of today´s man and woman. Nike Urban Musk women Body mist is a long-lasting fragrance."
"360 Degrees Spill Proof Glass - Boy, 12m+",Chicco,Baby Care,Feeding & Nursing,360 Rim Trainer with a clear silicone membrane allows liquid to flow wherever lip pressure is applied and lets baby see the liquid approaching. It is really important for open cup training.,"360 Degrees Spill Proof Glass - Boy, 12m+ Chicco Baby Care Feeding & Nursing 360 Rim Trainer with a clear silicone membrane allows liquid to flow wherever lip pressure is applied and lets baby see the liquid approaching. It is really important for open cup training."
Beard Growth Serum - For Oily Skin,USTRAA,Beauty & Hygiene,Men's Grooming,"A lot of people with oily skin are stressed with beard growth problems, as using oil sometimes gives acne. If you want beard growth and not pimple growth, this oil-free formulation has Redensyl that works on the hair follicle stem cells and promotes hair growth, along with amino acid for an added boost. It also repairs damaged hair while keeping the skin underneath healthy and oil-free. This product is what you have always been looking for, to fight all your beard growth worries. It takes at least 90 days of regular use to see a visible difference. The results might vary from person to person.","Beard Growth Serum - For Oily Skin USTRAA Beauty & Hygiene Men's Grooming A lot of people with oily skin are stressed with beard growth problems, as using oil sometimes gives acne. If you want beard growth and not pimple growth, this oil-free formulation has Redensyl that works on the hair follicle stem cells and promotes hair growth, along with amino acid for an added boost. It also repairs damaged hair while keeping the skin underneath healthy and oil-free. This product is what you have always been looking for, to fight all your beard growth worries. It takes at least 90 days of regular use to see a visible difference. The results might vary from person to person."
Aeda Soap - Ramacham,K.P. Namboodiris,Beauty & Hygiene,Bath & Hand Wash,"Combination of vegetable oils & vetiver (Ramacham) to cool skin and whole body.  For Beauty tips, tricks & more visit https://bigbasket.blog/","Aeda Soap - Ramacham K.P. Namboodiris Beauty & Hygiene Bath & Hand Wash Combination of vegetable oils & vetiver (Ramacham) to cool skin and whole body.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
N95 + PM2.5 Anti Pollution Face Mask With Activated Carbon - Large,Bodyguard,Beauty & Hygiene,Health & Medicine,"BodyGuard has designed N95 Anti-Pollution Face Mask to provide reliable respiratory protection. It employs six layers of high-quality filters to effectively protect you from dust, odour, pollen, toxins and PM2.5 particles.
Why use BodyGuard Anti-Pollution Face Mask?

Filters PM2.5 particles
Easy to wear
Washable/ Reusable
N95 effective filtration
Comfortable fit

Layer-wise specification of the filter:

1st layer - cotton cloth to provide protection from heavy dust particles
2nd layer - Activated Carbon to protect from smog, VOCs and hazardous gases
3rd & 4th layers - High-grade melt-blown to filter PM 2.5 pollution particulates
5th layer - Nonwoven fabric to absorb unwanted moisture & provide fresh air
6th layer - soft cotton cloth layer for a comfortable fit.","N95 + PM2.5 Anti Pollution Face Mask With Activated Carbon - Large Bodyguard Beauty & Hygiene Health & Medicine BodyGuard has designed N95 Anti-Pollution Face Mask to provide reliable respiratory protection. It employs six layers of high-quality filters to effectively protect you from dust, odour, pollen, toxins and PM2.5 particles.
Why use BodyGuard Anti-Pollution Face Mask?

Filters PM2.5 particles
Easy to wear
Washable/ Reusable
N95 effective filtration
Comfortable fit

Layer-wise specification of the filter:

1st layer - cotton cloth to provide protection from heavy dust particles
2nd layer - Activated Carbon to protect from smog, VOCs and hazardous gases
3rd & 4th layers - High-grade melt-blown to filter PM 2.5 pollution particulates
5th layer - Nonwoven fabric to absorb unwanted moisture & provide fresh air
6th layer - soft cotton cloth layer for a comfortable fit."
Volume Million Lashes Mascara - Washable,Loreal Paris,Beauty & Hygiene,Makeup,"Add definition, volume and length to your lashes with Voluminous Million Lashes mascara by L'Oreal Paris India. The millionizer brush gives a fanned out lash-effect and coats your lashes evenly. The in-built wiper removes excess mascara which avoids clumping of the eyelashes. Voluminous Million Lashes glides on smoothly, and lasts all day, while thickening and separating every lash for a clump-free, smudge-free look. L'Oreal Paris India offers a complete range of makeup. You can volumize and lengthen your lashes with our collection of mascaras, achieve sleek lines with smudge-proof eyeliner, add natural-looking definition to your brows and discover eyeshadow palettes. Create your perfect eye makeup look with L'Oreal Paris India!. Millionizing brush which results in easy application. Avoids clumping of the lashes. Gives a fanned-out lash effect. Suitable for sensitive eyes and contact lenses. Waterproof mascara","Volume Million Lashes Mascara - Washable Loreal Paris Beauty & Hygiene Makeup Add definition, volume and length to your lashes with Voluminous Million Lashes mascara by L'Oreal Paris India. The millionizer brush gives a fanned out lash-effect and coats your lashes evenly. The in-built wiper removes excess mascara which avoids clumping of the eyelashes. Voluminous Million Lashes glides on smoothly, and lasts all day, while thickening and separating every lash for a clump-free, smudge-free look. L'Oreal Paris India offers a complete range of makeup. You can volumize and lengthen your lashes with our collection of mascaras, achieve sleek lines with smudge-proof eyeliner, add natural-looking definition to your brows and discover eyeshadow palettes. Create your perfect eye makeup look with L'Oreal Paris India!. Millionizing brush which results in easy application. Avoids clumping of the lashes. Gives a fanned-out lash effect. Suitable for sensitive eyes and contact lenses. Waterproof mascara"
Candles - Twisted,Raju Candles,Cleaning & Household,Pooja Needs,Twisted wax candles will illuminate your home and create a relaxing aura. These candles can be used on fancy candle stands or can be placed just the way they are for meditation and prayers.,Candles - Twisted Raju Candles Cleaning & Household Pooja Needs Twisted wax candles will illuminate your home and create a relaxing aura. These candles can be used on fancy candle stands or can be placed just the way they are for meditation and prayers.
Green Tea Watery Toner,It's Skin,Beauty & Hygiene,Skin Care,"The Its Skin Green Tea Watery Toner is here to give your thirsty skin a boost of hydration. It has been formulated with the natural ingredient of green tea that provides excellent moisturizing plus soothing silky skin care effects. It supplies water into the skin and keeps skin fresh, calm and soft. This toner contains cucumber extract, bamboo extract, and cypress-water for vital skin care.","Green Tea Watery Toner It's Skin Beauty & Hygiene Skin Care The Its Skin Green Tea Watery Toner is here to give your thirsty skin a boost of hydration. It has been formulated with the natural ingredient of green tea that provides excellent moisturizing plus soothing silky skin care effects. It supplies water into the skin and keeps skin fresh, calm and soft. This toner contains cucumber extract, bamboo extract, and cypress-water for vital skin care."
Organic - Red Raw Rice/Akki,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,"These medium-sized grains of red rice have antioxidants, fiber, protein and minerals. With its distinctive colour and complex nutty flavour, Red Rice is the perfect foundation for a healthy and colorful meal. It is free of synthetic chemicals and pesticides.
BB Royal is a premium brand of organic staples by Big Basket. The entire range of products is sourced from the best of farms and products to ensure high-quality standards. All BB Royal products are cleaned and packed in hygienic facilities in high-quality food-grade packaging. There is a no questions asked return policy on all BB Royal products in a bid to provide you nothing but the best!","Organic - Red Raw Rice/Akki bb Royal Foodgrains, Oil & Masala Rice & Rice Products These medium-sized grains of red rice have antioxidants, fiber, protein and minerals. With its distinctive colour and complex nutty flavour, Red Rice is the perfect foundation for a healthy and colorful meal. It is free of synthetic chemicals and pesticides.
BB Royal is a premium brand of organic staples by Big Basket. The entire range of products is sourced from the best of farms and products to ensure high-quality standards. All BB Royal products are cleaned and packed in hygienic facilities in high-quality food-grade packaging. There is a no questions asked return policy on all BB Royal products in a bid to provide you nothing but the best!"
Arthrohills Joint Care Oil,Herbal Hills,Beauty & Hygiene,Health & Medicine,"EAN Code: 8906008264920  Country of origin: India  Manufactured & Marketed By: Isha Agro Developers Private Limited, Plot No 33 ABCD, Government Industrial Estate Charkop, Charkop, Charkop Industrial Estate, Kandivali West, Mumbai, Maharashtra 400067  Best before 05-12-2022  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com","Arthrohills Joint Care Oil Herbal Hills Beauty & Hygiene Health & Medicine EAN Code: 8906008264920  Country of origin: India  Manufactured & Marketed By: Isha Agro Developers Private Limited, Plot No 33 ABCD, Government Industrial Estate Charkop, Charkop, Charkop Industrial Estate, Kandivali West, Mumbai, Maharashtra 400067  Best before 05-12-2022  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com"
Himalayan Pink Salt,Graminway,Gourmet & World Food,Cooking & Baking Needs,"Graminway Himalayan Pink Salt is purest form salt, rich in traces of 84 minerals, it has lots of health benefits such as detoxifies the body by balancing pH, helps in balancing blood sugar, helps blood pressure because it provides unrefined, mineral-rich salt and it also supports weight loss by balancing hormone balance. At Graminway, they believe that everyone deserves to live a full and healthy life. The intake of their food supplements will provide a good foundation for a healthy lifestyle. They are committed to providing the highest quality products at affordable price. They are a company with a purpose beyond profit and want to make a lasting difference in the world. Graminway aims to provide clean, natural, and healthy products without compromising on the flavours and taste. They produce them in small batches, which helps maintain freshness and preserve the ingredient texture. By not stockpiling, each product is as fresh as possible when it reaches your doorstep.","Himalayan Pink Salt Graminway Gourmet & World Food Cooking & Baking Needs Graminway Himalayan Pink Salt is purest form salt, rich in traces of 84 minerals, it has lots of health benefits such as detoxifies the body by balancing pH, helps in balancing blood sugar, helps blood pressure because it provides unrefined, mineral-rich salt and it also supports weight loss by balancing hormone balance. At Graminway, they believe that everyone deserves to live a full and healthy life. The intake of their food supplements will provide a good foundation for a healthy lifestyle. They are committed to providing the highest quality products at affordable price. They are a company with a purpose beyond profit and want to make a lasting difference in the world. Graminway aims to provide clean, natural, and healthy products without compromising on the flavours and taste. They produce them in small batches, which helps maintain freshness and preserve the ingredient texture. By not stockpiling, each product is as fresh as possible when it reaches your doorstep."
Taft Power Wax,Schwarzkopf,Beauty & Hygiene,Hair Care,"Schwarzkopf professional Taft power wax hair styler contains a caffeine-strength formula, for power hold and 100 per cent strong hair, structures like wax and holds like a gel, all-weather will work for wet or dry hair. Make your hairdo an elegant and stylish affair with this power wax hair styler. It lends power and style and is suited for all occasions. Use it in any season without any reason.","Taft Power Wax Schwarzkopf Beauty & Hygiene Hair Care Schwarzkopf professional Taft power wax hair styler contains a caffeine-strength formula, for power hold and 100 per cent strong hair, structures like wax and holds like a gel, all-weather will work for wet or dry hair. Make your hairdo an elegant and stylish affair with this power wax hair styler. It lends power and style and is suited for all occasions. Use it in any season without any reason."
"Dlite The Dark Collection - Assorted Chocolate, Gift Pack",Sugar free,Snacks & Branded Foods,Chocolates & Candies,"An assorted range of chocolates crafted specially to tantalise your taste buds. Savour the rich taste of chocolate that promise the sweetness of sugar, minus its calories An Exquisite gifting pack containing an assorted range of chocolates crafted specially to tantalise your taste buds An Ideal Gift for your favourite occasions, be it Diwali, Christmas, New Year's, Birthday or Anniversary The rich and delicious taste combined with the fact that the chocolates are made with no added sugar makes it perfect to indulge in without any guilt. Every bar contains a minimum of 50% Cocoa, which is sure to delight the dark chocolate connoisseur in you. And unlike other chocolates, Sugar-Free D'lite chocolates are made with natural sweeteners From the house of Sugar-Free.","Dlite The Dark Collection - Assorted Chocolate, Gift Pack Sugar free Snacks & Branded Foods Chocolates & Candies An assorted range of chocolates crafted specially to tantalise your taste buds. Savour the rich taste of chocolate that promise the sweetness of sugar, minus its calories An Exquisite gifting pack containing an assorted range of chocolates crafted specially to tantalise your taste buds An Ideal Gift for your favourite occasions, be it Diwali, Christmas, New Year's, Birthday or Anniversary The rich and delicious taste combined with the fact that the chocolates are made with no added sugar makes it perfect to indulge in without any guilt. Every bar contains a minimum of 50% Cocoa, which is sure to delight the dark chocolate connoisseur in you. And unlike other chocolates, Sugar-Free D'lite chocolates are made with natural sweeteners From the house of Sugar-Free."
Room Freshening Gelz - Passion Fruit,Odonil ,Cleaning & Household,Fresheners & Repellents,"Sense of Warmth all round, as you enter the paradise filled with overpowering scent fruit, making love with utopia.","Room Freshening Gelz - Passion Fruit Odonil  Cleaning & Household Fresheners & Repellents Sense of Warmth all round, as you enter the paradise filled with overpowering scent fruit, making love with utopia."
Cheese Spread - Jalapeno (Soft & Creamy),Go ,"Bakery, Cakes & Dairy",Dairy,Go Cheese Spread - Jalapeno (Soft & Creamy) 200 g,"Cheese Spread - Jalapeno (Soft & Creamy) Go  Bakery, Cakes & Dairy Dairy Go Cheese Spread - Jalapeno (Soft & Creamy) 200 g"
Awadhi Chicken Biryani Masala,Keya,"Foodgrains, Oil & Masala",Masalas & Spices,"Keya Khada Masala blends are whole spice mixes, hand-picked in the right proportion by expert chefs, gently blended and coarse ground to unlock its taste and aroma only while cooking. The magic of aroma-locked Awadhi Chicken Biryani Masala comes alive with flavourful bursts of real whole spices.","Awadhi Chicken Biryani Masala Keya Foodgrains, Oil & Masala Masalas & Spices Keya Khada Masala blends are whole spice mixes, hand-picked in the right proportion by expert chefs, gently blended and coarse ground to unlock its taste and aroma only while cooking. The magic of aroma-locked Awadhi Chicken Biryani Masala comes alive with flavourful bursts of real whole spices."
"Carrots Sliced, Broccoli Florets and Cauliflower Florets",Fresho,Fruits & Vegetables,Cuts & Sprouts,"Fresh carrot, broccoli and cauliflower, cleaned and cut into almost equal sizes. Make your cooking fun without having to waste time on cutting and peeling.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.","Carrots Sliced, Broccoli Florets and Cauliflower Florets Fresho Fruits & Vegetables Cuts & Sprouts Fresh carrot, broccoli and cauliflower, cleaned and cut into almost equal sizes. Make your cooking fun without having to waste time on cutting and peeling.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
Wild Cherries & Kiwi Body Scrub,Plum,Beauty & Hygiene,Bath & Hand Wash,"A delightfully fruitilicious way to smoother skin. With gentle, biodegradable cellulose beads and natural walnut shell powder in a gently foaming base, it’s time to scrub away the dead skin cells and impurities with a deep cleanse. Make way for soft, smooth, and deliciously fragrant skin! All Plum products are PETA-certified, vegan, cruelty-free, and free of parabens, phthalates, SLS, or any harmful chemicals. What's more, we give away 1% of our sales every year to environmental non-profits.","Wild Cherries & Kiwi Body Scrub Plum Beauty & Hygiene Bath & Hand Wash A delightfully fruitilicious way to smoother skin. With gentle, biodegradable cellulose beads and natural walnut shell powder in a gently foaming base, it’s time to scrub away the dead skin cells and impurities with a deep cleanse. Make way for soft, smooth, and deliciously fragrant skin! All Plum products are PETA-certified, vegan, cruelty-free, and free of parabens, phthalates, SLS, or any harmful chemicals. What's more, we give away 1% of our sales every year to environmental non-profits."
Red Velvet Cake,The Baker's Dozen,"Bakery, Cakes & Dairy",Cakes & Pastries,"Classic red velvet pastry in the form of a cake! This delicious cake is packed using a special German packaging technology (""fresh lock pack"") that retains its oven-baked freshness.","Red Velvet Cake The Baker's Dozen Bakery, Cakes & Dairy Cakes & Pastries Classic red velvet pastry in the form of a cake! This delicious cake is packed using a special German packaging technology (""fresh lock pack"") that retains its oven-baked freshness."
Schezwan Dip,Organic Nation,Gourmet & World Food,"Sauces, Spreads & Dips","Organic Nation Chutneys are blended with the right spices and ingredients to complement your regular meals or snacks with tangy, sweet, zingy and spicy flavour notes. It is the perfect accompaniment to your chaat, samosa, bhel, parantha and many more snack items. So, enjoy the finger-licking, delicious range of Mango, Tamarind, Sweet Tomato, Schezwan, Salsa Dip Chutneys at your comfort.","Schezwan Dip Organic Nation Gourmet & World Food Sauces, Spreads & Dips Organic Nation Chutneys are blended with the right spices and ingredients to complement your regular meals or snacks with tangy, sweet, zingy and spicy flavour notes. It is the perfect accompaniment to your chaat, samosa, bhel, parantha and many more snack items. So, enjoy the finger-licking, delicious range of Mango, Tamarind, Sweet Tomato, Schezwan, Salsa Dip Chutneys at your comfort."
"Snack - Sunflower Seeds, Roasted, Salted Crunch, Harippa",True Elements,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","True Elements brings to you Roasted Sunflower Seeds that are loaded with health benefits and nutrients. It is 100% natural, free from any chemicals or preservatives and best selected. These seeds are slightly roasted to get maximum health benefits and the right crunch. It has a distinct nutty flavour and high nutritional value. Sunflower seeds are rich in vitamin E, which functions as an antioxidant and is critical to eye health. It is a great mid-meal snack, sprinkled over breakfast or soups.
Benefits:
1. It is loaded with many health benefits and nutrients
. 2. It is a great healthy snack or meal option.
3. It is rich in vitamin E, which functions as an antioxidant and is critical to eye health.
4. It is 100% natural and made of high-quality.","Snack - Sunflower Seeds, Roasted, Salted Crunch, Harippa True Elements Gourmet & World Food Snacks, Dry Fruits, Nuts True Elements brings to you Roasted Sunflower Seeds that are loaded with health benefits and nutrients. It is 100% natural, free from any chemicals or preservatives and best selected. These seeds are slightly roasted to get maximum health benefits and the right crunch. It has a distinct nutty flavour and high nutritional value. Sunflower seeds are rich in vitamin E, which functions as an antioxidant and is critical to eye health. It is a great mid-meal snack, sprinkled over breakfast or soups.
Benefits:
1. It is loaded with many health benefits and nutrients
. 2. It is a great healthy snack or meal option.
3. It is rich in vitamin E, which functions as an antioxidant and is critical to eye health.
4. It is 100% natural and made of high-quality."
Code Chrome Body Perfume,Wild Stone,Beauty & Hygiene,Men's Grooming,"Chrome unfolds charismatic escapades with the freshness of lavender, bergamot, musk and vetiver. The aqueous notes of chrome, infused with zesty citrus and greens, inspires you to always go with the flow. This aromatic and Fougere note makes it distinctly masculine and irresistibly a romantic one. Designed by master perfumers in France.","Code Chrome Body Perfume Wild Stone Beauty & Hygiene Men's Grooming Chrome unfolds charismatic escapades with the freshness of lavender, bergamot, musk and vetiver. The aqueous notes of chrome, infused with zesty citrus and greens, inspires you to always go with the flow. This aromatic and Fougere note makes it distinctly masculine and irresistibly a romantic one. Designed by master perfumers in France."
Bombay Street Food Spice Blend,Cafe Junyali,Gourmet & World Food,Cooking & Baking Needs,"The origins of pau bhaji date back to the 1850s Bombay, it was a fast, nutritious lunch for textile workers, a mash of vegetables sprinkled with spices and a dollop of butter, Bombay can rightfully claim to be the birthplace of this hot, spicy, tasty bhaji served with crunchy onions and slivers of lime, coupled with butter-dripping Portuguese bread called pau. Junyali pau bhaji masala can be used for Bombay’s street foods, like scrambled egg & potato patty.","Bombay Street Food Spice Blend Cafe Junyali Gourmet & World Food Cooking & Baking Needs The origins of pau bhaji date back to the 1850s Bombay, it was a fast, nutritious lunch for textile workers, a mash of vegetables sprinkled with spices and a dollop of butter, Bombay can rightfully claim to be the birthplace of this hot, spicy, tasty bhaji served with crunchy onions and slivers of lime, coupled with butter-dripping Portuguese bread called pau. Junyali pau bhaji masala can be used for Bombay’s street foods, like scrambled egg & potato patty."
"7 Grain Breakfast Cookie - Nuts & Seeds, Soft & Chewy",RiteBite Max Protein,Snacks & Branded Foods,Biscuits & Cookies,"Clean Indulgence: Indulge in our Max Protein Nuts & Seeds cookies while meeting your diet goals. Each bite only takes you towards your goal. These delicious protein cookies have the right amount of carbs, protein and a whole lot of flavour.
Committed To Nutrition: Committed to your health and taste buds, we at Max protein ensure nutrition in every bite. Our Protein cookies have 10 gm Protein that equals 2 cups of dal, 4 gm Fibre that equals 1 apple, 300 mg Calcium that equals 1 glass of milk. It can’t get better than this.
Goodness Of Grains: Our cookies are made with the goodness of 7 grains like Oats, Ragi, Quinoa, Corn, Wheat, Bengal gram and amaranth. This keeps you full and helps you curb your cravings.
No Nasties: These cookies were created from a simple idea: food should taste as good for you with zero compromises. We don’t add preservatives, GMO-Free and we don’t use Maida.
Comfort Foods For Cravings: Be it breakfast or midnight cravings or post-lunch sweet tooth cravings, our Max Protein Cookie is a sweet treat that you can indulge in without feeling guilty.
Made In India: Max Protein is the first brand to launch nutrition & protein bars in India. We have created and nurtured protein bars category in Indian Market.","7 Grain Breakfast Cookie - Nuts & Seeds, Soft & Chewy RiteBite Max Protein Snacks & Branded Foods Biscuits & Cookies Clean Indulgence: Indulge in our Max Protein Nuts & Seeds cookies while meeting your diet goals. Each bite only takes you towards your goal. These delicious protein cookies have the right amount of carbs, protein and a whole lot of flavour.
Committed To Nutrition: Committed to your health and taste buds, we at Max protein ensure nutrition in every bite. Our Protein cookies have 10 gm Protein that equals 2 cups of dal, 4 gm Fibre that equals 1 apple, 300 mg Calcium that equals 1 glass of milk. It can’t get better than this.
Goodness Of Grains: Our cookies are made with the goodness of 7 grains like Oats, Ragi, Quinoa, Corn, Wheat, Bengal gram and amaranth. This keeps you full and helps you curb your cravings.
No Nasties: These cookies were created from a simple idea: food should taste as good for you with zero compromises. We don’t add preservatives, GMO-Free and we don’t use Maida.
Comfort Foods For Cravings: Be it breakfast or midnight cravings or post-lunch sweet tooth cravings, our Max Protein Cookie is a sweet treat that you can indulge in without feeling guilty.
Made In India: Max Protein is the first brand to launch nutrition & protein bars in India. We have created and nurtured protein bars category in Indian Market."
Mahanarayan Taila - Joint Pain Relief Oil,Baidyanath,Beauty & Hygiene,Health & Medicine,"Baidyanath Mahanarayan tail is an Ayurvedic oil widely used for relief from Vata Roga (joint and muscular pains). Enriched with the goodness of pure Saffron, which is clinically proven to reduce inflammation in joint pain. This property is accepted by modern science also. Daily massage with this oil helps in relieving pain and stiffness of joints and muscles.","Mahanarayan Taila - Joint Pain Relief Oil Baidyanath Beauty & Hygiene Health & Medicine Baidyanath Mahanarayan tail is an Ayurvedic oil widely used for relief from Vata Roga (joint and muscular pains). Enriched with the goodness of pure Saffron, which is clinically proven to reduce inflammation in joint pain. This property is accepted by modern science also. Daily massage with this oil helps in relieving pain and stiffness of joints and muscles."
